"subject_id" "activity_id" "activity_name"
1 1 "WALKING"
1 2 "WALKING_UPSTAIRS"
1 3 "WALKING_DOWNSTAIRS"
1 4 "SITTING"
1 5 "STANDING"
1 6 "LAYING"
2 1 "WALKING"
2 2 "WALKING_UPSTAIRS"
2 3 "WALKING_DOWNSTAIRS"
2 4 "SITTING"
2 5 "STANDING"
2 6 "LAYING"
3 1 "WALKING"
3 2 "WALKING_UPSTAIRS"
3 3 "WALKING_DOWNSTAIRS"
3 4 "SITTING"
3 5 "STANDING"
3 6 "LAYING"
4 1 "WALKING"
4 2 "WALKING_UPSTAIRS"
4 3 "WALKING_DOWNSTAIRS"
4 4 "SITTING"
4 5 "STANDING"
4 6 "LAYING"
5 1 "WALKING"
5 2 "WALKING_UPSTAIRS"
5 3 "WALKING_DOWNSTAIRS"
5 4 "SITTING"
5 5 "STANDING"
5 6 "LAYING"
6 1 "WALKING"
6 2 "WALKING_UPSTAIRS"
6 3 "WALKING_DOWNSTAIRS"
6 4 "SITTING"
6 5 "STANDING"
6 6 "LAYING"
7 1 "WALKING"
7 2 "WALKING_UPSTAIRS"
7 3 "WALKING_DOWNSTAIRS"
7 4 "SITTING"
7 5 "STANDING"
7 6 "LAYING"
8 1 "WALKING"
8 2 "WALKING_UPSTAIRS"
8 3 "WALKING_DOWNSTAIRS"
8 4 "SITTING"
8 5 "STANDING"
8 6 "LAYING"
9 1 "WALKING"
9 2 "WALKING_UPSTAIRS"
9 3 "WALKING_DOWNSTAIRS"
9 4 "SITTING"
9 5 "STANDING"
9 6 "LAYING"
10 1 "WALKING"
10 2 "WALKING_UPSTAIRS"
10 3 "WALKING_DOWNSTAIRS"
10 4 "SITTING"
10 5 "STANDING"
10 6 "LAYING"
11 1 "WALKING"
11 2 "WALKING_UPSTAIRS"
11 3 "WALKING_DOWNSTAIRS"
11 4 "SITTING"
11 5 "STANDING"
11 6 "LAYING"
12 1 "WALKING"
12 2 "WALKING_UPSTAIRS"
12 3 "WALKING_DOWNSTAIRS"
12 4 "SITTING"
12 5 "STANDING"
12 6 "LAYING"
13 1 "WALKING"
13 2 "WALKING_UPSTAIRS"
13 3 "WALKING_DOWNSTAIRS"
13 4 "SITTING"
13 5 "STANDING"
13 6 "LAYING"
14 1 "WALKING"
14 2 "WALKING_UPSTAIRS"
14 3 "WALKING_DOWNSTAIRS"
14 4 "SITTING"
14 5 "STANDING"
14 6 "LAYING"
15 1 "WALKING"
15 2 "WALKING_UPSTAIRS"
15 3 "WALKING_DOWNSTAIRS"
15 4 "SITTING"
15 5 "STANDING"
15 6 "LAYING"
16 1 "WALKING"
16 2 "WALKING_UPSTAIRS"
16 3 "WALKING_DOWNSTAIRS"
16 4 "SITTING"
16 5 "STANDING"
16 6 "LAYING"
17 1 "WALKING"
17 2 "WALKING_UPSTAIRS"
17 3 "WALKING_DOWNSTAIRS"
17 4 "SITTING"
17 5 "STANDING"
17 6 "LAYING"
18 1 "WALKING"
18 2 "WALKING_UPSTAIRS"
18 3 "WALKING_DOWNSTAIRS"
18 4 "SITTING"
18 5 "STANDING"
18 6 "LAYING"
19 1 "WALKING"
19 2 "WALKING_UPSTAIRS"
19 3 "WALKING_DOWNSTAIRS"
19 4 "SITTING"
19 5 "STANDING"
19 6 "LAYING"
20 1 "WALKING"
20 2 "WALKING_UPSTAIRS"
20 3 "WALKING_DOWNSTAIRS"
20 4 "SITTING"
20 5 "STANDING"
20 6 "LAYING"
21 1 "WALKING"
21 2 "WALKING_UPSTAIRS"
21 3 "WALKING_DOWNSTAIRS"
21 4 "SITTING"
21 5 "STANDING"
21 6 "LAYING"
22 1 "WALKING"
22 2 "WALKING_UPSTAIRS"
22 3 "WALKING_DOWNSTAIRS"
22 4 "SITTING"
22 5 "STANDING"
22 6 "LAYING"
23 1 "WALKING"
23 2 "WALKING_UPSTAIRS"
23 3 "WALKING_DOWNSTAIRS"
23 4 "SITTING"
23 5 "STANDING"
23 6 "LAYING"
24 1 "WALKING"
24 2 "WALKING_UPSTAIRS"
24 3 "WALKING_DOWNSTAIRS"
24 4 "SITTING"
24 5 "STANDING"
24 6 "LAYING"
25 1 "WALKING"
25 2 "WALKING_UPSTAIRS"
25 3 "WALKING_DOWNSTAIRS"
25 4 "SITTING"
25 5 "STANDING"
25 6 "LAYING"
26 1 "WALKING"
26 2 "WALKING_UPSTAIRS"
26 3 "WALKING_DOWNSTAIRS"
26 4 "SITTING"
26 5 "STANDING"
26 6 "LAYING"
27 1 "WALKING"
27 2 "WALKING_UPSTAIRS"
27 3 "WALKING_DOWNSTAIRS"
27 4 "SITTING"
27 5 "STANDING"
27 6 "LAYING"
28 1 "WALKING"
28 2 "WALKING_UPSTAIRS"
28 3 "WALKING_DOWNSTAIRS"
28 4 "SITTING"
28 5 "STANDING"
28 6 "LAYING"
29 1 "WALKING"
29 2 "WALKING_UPSTAIRS"
29 3 "WALKING_DOWNSTAIRS"
29 4 "SITTING"
29 5 "STANDING"
29 6 "LAYING"
30 1 "WALKING"
30 2 "WALKING_UPSTAIRS"
30 3 "WALKING_DOWNSTAIRS"
30 4 "SITTING"
30 5 "STANDING"
30 6 "LAYING"
